Répartition des inscrits aux élections présidentielles 2019 par sexe et tranche d'âge;;;;;;;;Nombre d'inscrits;Nombre de bureau de vote ;Délégation;Région
Plus que 60 ans     Femme;Plus que 60 ans     Homme;De 45 à 60 ans    Femme;De 45 à 60 ans    Homme;De 26 à 45 ans    Femme;De 26 à 45 ans   Homme;De 18 à 25 ans   Femme;De 18 à 15   ans      Homme;ددع نيلجسلما;زكارم ددع عارتقلاا;ةيدمتعلما;
8602;8835;11110;10219;19281;17317;6016;5876;87256;22;Ariana Medina;Ariana 
2726;3727;5186;5647;8615;8162;2840;2466;39369;14;Mnihla;Ariana 
4041;4656;5505;5282;9820;9072;2665;2384;43425;12;Cité Ettadhamen;Ariana 
3447;4889;6427;7388;11309;11213;3461;2935;51069;12;Raoued;Ariana 
4413;5575;7754;8455;13897;12914;3634;3081;59723;16;La Soukra;Ariana 
997;1382;1680;2046;2607;2736;858;769;13075;9;Sidi Thabet;Ariana 
906;1336;1538;2028;2980;2946;1260;1095;14089;9;Kalaate Al Andalouss;Ariana 
25132;30400;39200;41065;68509;64360;20734;18606;308006;94;Total Ariana ;
1207;1116;1811;1638;3942;3622;1567;1616;16519;5;Ezzouhour-Kasserine;Kasserine
768;1031;1145;1207;3014;3182;1032;1207;12586;19;Ayoun;Kasserine
839;1026;1238;1453;3009;3143;853;834;12395;23;Kasserine Sud;Kasserine
3360;3759;5196;5395;10553;9420;4075;4013;45771;17;Kasserine Nord;Kasserine
1876;2040;2447;2535;4490;4446;1508;1474;20816;25;Thala;Kasserine
810;842;946;884;2194;1964;682;691;9013;13;Jedelienne;Kasserine
688;908;1000;1211;2701;3424;944;1346;12222;22;Hassi El Ferid;Kasserine
651;586;783;763;1137;1139;406;384;5849;9;Haïdra;Kasserine
1489;2275;2779;2895;6857;7154;2240;2713;28402;27;Sbiba;Kasserine
3108;3902;4938;5212;11713;11431;4016;4084;48404;50;Sbeïtla;Kasserine
2022;2447;3180;3340;7787;7763;2468;2825;31832;33;Feriana;Kasserine
2186;2341;3146;3163;7171;7101;2185;2278;29571;34;Foussana;Kasserine
1120;1276;1605;1704;4056;4010;1160;1233;16164;25;Majel Bel Abbès;Kasserine
20124;23549;30214;31400;68624;67799;23136;24698;289544;302;Total Kasserine;
2582;3713;3948;4641;8597;9607;2777;2789;38654;37;Sbikha;Kairouan
1138;1782;2162;2557;4447;4970;1502;1510;20068;24;Chbika;Kairouan
1235;1652;1963;2039;4039;4217;1259;1386;17790;25;Echrarda;Kairouan
1615;1917;2214;2047;4210;3759;1458;1364;18584;25;El Alâa;Kairouan
3199;4296;5496;6223;10643;10687;3613;3448;47605;27;Kairouan Sud;Kairouan
3520;4630;6148;6689;11186;10488;4327;3963;50951;24;Kairouan Nord;Kairouan
1727;1911;2353;2393;4378;4365;1552;1485;20164;26;Oueslatia;Kairouan
2144;3534;3748;4496;8174;9453;2986;3314;37849;42;Bou Hajla;Kairouan
1690;2144;2732;2834;5348;5334;1999;1930;24011;22;Hajeb El Ayoun;Kairouan
1925;2513;3055;3052;5710;5805;2088;2151;26299;25;Haffuz;Kairouan
499;496;626;584;1008;1126;342;358;5039;5;Aïn Jloula;Kairouan
726;837;971;991;1906;1900;571;595;8497;11;Menzel M'Hiri;Kairouan
1535;1666;1937;1754;3289;3115;1163;1046;15505;20;Nasr Allah;Kairouan
23535;31091;37353;40300;72935;74826;25637;25339;331016;313;Total Kairouan;
991;851;918;902;1255;1206;421;403;6947;13;Jérissa;Le Kef
1532;2000;1881;2200;3054;3154;1057;974;15852;23;Dahmani;Le Kef
1662;1687;1946;2152;2850;2740;942;746;14725;16;Sers;Le Kef
437;600;455;522;770;748;223;177;3932;6;Tourief;Le Kef
881;1100;1192;1402;2002;2207;685;629;10098;14;El Ksour;Le Kef
612;571;587;641;825;779;284;243;4542;8;El Kalaa El Khasba;Le Kef
2931;3026;3959;3922;5618;5045;2322;2297;29120;23;Le kef Est;Le Kef
2027;2180;2884;2548;4269;3434;1512;1410;20264;11;Le kef Ouest ;Le Kef
2136;2277;2425;2452;3577;3405;1165;970;18407;25;Tajerouine;Le Kef
1125;1342;1303;1482;2003;2083;633;572;10543;20;Sakiet Sidi Youssef;Le Kef
1123;1086;1150;1293;1734;1750;636;541;9313;15;Kalaat Senan;Le Kef
1355;1510;1635;1664;2693;2303;777;603;12540;18;Nebeur;Le Kef
16812;18230;20335;21180;30650;28854;10657;9565;156283;192;Total Le Kef;
813;954;1100;1364;2070;2165;770;674;9910;7;Bekalta;Monastir
1268;1435;2102;2232;3791;3500;1205;930;16463;6;Sahline;Monastir
3423;4083;5920;6459;12538;11567;4438;3726;52154;34;Moknine;Monastir
3985;4690;7223;7769;14279;12661;4999;4464;60070;19;Monastir;Monastir
